# Mol_Title	ID	SMILES
ZINC00003015	DUD_ace_D_1	CC(NC(=O)c1ccccc1SC(=O)NC(C)(C)C)C(N)=O
ZINC00003662	DUD_ace_D_2	CC(O)C1C(=O)N2C(C(=O)[O-])=C(CNc3cc[n+](C)cc3)SC12
ZINC00009202	DUD_ace_D_3	CC(C)(C)NC(=O)Sc1ccccc1C(=O)NCCC(N)=O
ZINC00031727	DUD_ace_D_4	NS(=O)(=O)c1ccc(CCNC(=O)Cc2cccs2)cc1
ZINC00031891	DUD_ace_D_5	O=C([O-])C(CC(=O)NCc1ccccc1)C1CCCO1
ZINC00033334	DUD_ace_D_6	CCC1C(=O)N=C(SCC(=O)NCc2ccco2)NC1=O
ZINC00062435	DUD_ace_D_7	Cc1nnc(SCC(=O)NC(C)c2ccccc2)nc1O
ZINC00062436	DUD_ace_D_8	Cc1nnc(SCC(=O)NC(C)c2ccccc2)nc1O
ZINC00067498	DUD_ace_D_9	CCC1C(=O)N=C(SCC(=O)NCc2ccccc2)NC1=O
ZINC00067501	DUD_ace_D_10	CCC1C(=O)N=C(SCC(=O)NCc2ccccc2)NC1=O
ZINC00072422	DUD_ace_D_11	C=CCn1c(SCC(N)=O)nc2sc(CC)cc2c1=O
ZINC00082060	DUD_ace_D_12	O=C(CSc1ncnc2c1cnn2CCO)NCc1ccco1
ZINC00083818	DUD_ace_D_13	Cn1c(SCC(=O)NC2CC2)nnc1-c1ccc(N)cc1
ZINC00086904	DUD_ace_D_14	CCN1C(=O)C(CC(=O)NC)N(NC(=O)c2ccccc2)C1=S
ZINC00089825	DUD_ace_D_15	CCc1c(O)nc(SCC(=O)NCc2ccco2)[nH]c1=O
ZINC00089832	DUD_ace_D_16	CCCc1c(O)nc(SCC(=O)NCc2ccco2)[nH]c1=O
ZINC00089874	DUD_ace_D_17	CC(C)Cc1c(O)nc(SCC(=O)NCc2ccco2)[nH]c1=O
ZINC00089910	DUD_ace_D_18	CCC(C)c1c(O)nc(SCC(=O)NCc2ccco2)[nH]c1=O
ZINC00105410	DUD_ace_D_19	CCCn1c2ccccc2c2nnc(SCC(N)=O)nc21
ZINC00107068	DUD_ace_D_20	CCn1c(COc2cccc3cccnc32)nnc1SCC(N)=O
ZINC00107874	DUD_ace_D_21	CCn1c(COc2ccc3c(c2)OCO3)nnc1SCC(N)=O
ZINC00168679	DUD_ace_D_22	COc1ccc(CCNC(=O)C2CC=CCC2C(=O)[O-])cc1
ZINC00200607	DUD_ace_D_23	O=C(CCCn1c(=O)[nH]c2ccsc2c1=O)NCc1ccco1
ZINC00202467	DUD_ace_D_24	CCC(Sc1nnc(N)s1)C(=O)NC(C)c1ccccc1
ZINC00202471	DUD_ace_D_25	CCC(Sc1nnc(N)s1)C(=O)NC(C)c1ccccc1
ZINC00213648	DUD_ace_D_26	COc1ccc(CNC(=O)CNS(=O)(=O)c2cccs2)cc1
ZINC00249594	DUD_ace_D_27	Cc1[nH]nc(SCC(=O)NCc2cccnc2)c1[N+](=O)[O-]
ZINC00249762	DUD_ace_D_28	COc1ccc(CNC(=O)CSc2n[nH]c(C)c2[N+](=O)[O-])cc1
ZINC00273529	DUD_ace_D_29	CCN(CC)C(=O)CSc1nc(O)c(Cc2ccccc2)c(=O)[nH]1
