# Mol_Title	ID	SMILES
ZINC01532339	DUD_ache_A_1	C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C
ZINC00001341	DUD_ache_A_2	CC[N+](C)(C)c1cccc(O)c1
ZINC01717164	DUD_ache_A_3	CCCCNC(=O)Oc1ccccc1
ZINC03814209	DUD_ache_A_4	CCCCNC(=O)Oc1cccc(Cl)c1
ZINC03814208	DUD_ache_A_5	CCCCNC(=O)Oc1ccc(Cl)cc1
ZINC03814207	DUD_ache_A_6	CCCCNC(=O)Oc1cccc(OC)c1
ZINC03814205	DUD_ache_A_7	CCCCNC(=O)Oc1ccc(OC)cc1
ZINC00001792	DUD_ache_A_8	CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
ZINC02156329	DUD_ache_A_9	CCCCNC(=O)Oc1cccc([N+](=O)[O-])c1
ZINC03814213	DUD_ache_A_10	CCCCNC(=O)Oc1ccc([N+](=O)[O-])cc1
ZINC01530756	DUD_ache_A_11	CC[NH+](CC)CCNC(=O)c1ccc(N)cc1
ZINC03814210	DUD_ache_A_12	CCCCNC(=O)Oc1cccc(C(F)(F)F)c1
ZINC03814211	DUD_ache_A_13	CCCCNC(=O)Oc1ccc(C(F)(F)F)cc1
ZINC03814214	DUD_ache_A_14	C[N+](C)(C)CCOc1cccc(OCC[N+](C)(C)C)c1OCC[N+](C)(C)C
ZINC02012157	DUD_ache_A_15	CC([NH3+])Cc1c[nH]c2ccc(O)cc12
ZINC02572146	DUD_ache_A_16	Cc1[nH]c2ccc(O)cc2c1CC[NH3+]
ZINC01592424	DUD_ache_A_17	C[NH2+]CCc1c[nH]c2ccc(O)cc12
ZINC03795925	DUD_ache_A_18	NC1C2CCCCC2NC2CCCCC12
ZINC03814212	DUD_ache_A_19	Cc1c2nc(N)nc-2ccc2nc(N)[nH]c21
ZINC03814249	DUD_ache_A_20	CC(=O)N(C)CCC1CC[NH+](Cc2ccccc2)CC1
ZINC03814203	DUD_ache_A_21	CNC(=O)Oc1ccc2c(c1)C1(C)CC[NH+](C)C1N2C
ZINC01663056	DUD_ache_A_22	CCC1=CC2CC(C1)C1C(N)C3CCC(Cl)CC3NC1C2
ZINC03814250	DUD_ache_A_23	O=C1CCCCN1CCC1CC[NH+](Cc2ccccc2)CC1
ZINC03814269	DUD_ache_A_24	O=C(NCCC1CC[NH+](Cc2ccccc2)CC1)c1ccccn1
ZINC03814270	DUD_ache_A_25	O=C(NCCC1CC[NH+](Cc2ccccc2)CC1)c1cccnc1
ZINC03814271	DUD_ache_A_26	O=C(NCCC1CC[NH+](Cc2ccccc2)CC1)c1ccncc1
ZINC03814272	DUD_ache_A_27	O=C(CCCC1CC[NH+](Cc2ccccc2)CC1)c1ccccc1
ZINC03814215	DUD_ache_A_28	O=C(NCCC1CC[NH+](Cc2ccccc2)CC1)c1ccccc1
ZINC03814266	DUD_ache_A_29	O=C(NCCC1CC[NH+](Cc2ccccc2)CC1)c1ccc(F)cc1
ZINC03814265	DUD_ache_A_30	O=C(NCCC1CC[NH+](Cc2ccccc2)CC1)c1ccc(Cl)cc1
ZINC03814257	DUD_ache_A_31	Cc1ccccc1C(=O)NCCC1CC[NH+](Cc2ccccc2)CC1
ZINC03814258	DUD_ache_A_32	Cc1cccc(C(=O)NCCC2CC[NH+](Cc3ccccc3)CC2)c1
ZINC03814259	DUD_ache_A_33	Cc1ccc(C(=O)NCCC2CC[NH+](Cc3ccccc3)CC2)cc1
ZINC03814222	DUD_ache_A_34	CN(CCC1CC[NH+](Cc2ccccc2)CC1)C(=O)c1ccccc1
ZINC03814264	DUD_ache_A_35	O=Cc1ccc(C(=O)NCCC2CC[NH+](Cc3ccccc3)CC2)cc1
ZINC03814255	DUD_ache_A_36	Cc1cccc(C[NH+]2CCC(CCN(C)C(=O)c3ccccc3)CC2)c1
ZINC03814254	DUD_ache_A_37	Cc1ccccc1C[NH+]1CCC(CCN(C)C(=O)c2ccccc2)CC1
ZINC03814252	DUD_ache_A_38	CCN(CCC1CC[NH+](Cc2ccccc2)CC1)C(=O)c1ccccc1
