# Mol_Title	ID	SMILES
ZINC00000806	DUD_ache_D_1	C[NH+]1CCC(COC(=O)C(O)(c2ccccc2)c2ccccc2)C1
ZINC00005164	DUD_ache_D_2	C[NH+](CC1CCN(C(=O)c2ccccc2)CC1)C1Cc2ccccc2C1
ZINC00005416	DUD_ache_D_3	C[NH+](Cc1ccccc1)C1CCN(c2ccc(C#N)cc2)CC1
ZINC00006348	DUD_ache_D_4	CC(C(CO)c1ccc(O)cc1)[NH+]1CCC(Cc2ccccc2)CC1
ZINC00008050	DUD_ache_D_5	c1ccc(C[NH+]2CCC(Nc3nc4cccccc-4n3)CC2)cc1
ZINC00014551	DUD_ache_D_6	CC(C(O)c1ccc(O)cc1)[NH+]1CCC(Cc2ccccc2)CC1
ZINC00017493	DUD_ache_D_7	CCOc1ccc(C(=O)Nc2cnc3c(c2)C[NH+](C)CC3)cc1
ZINC00022154	DUD_ache_D_8	Cc1ncc(C[NH+]2CCc3cc(-c4ccccc4)ccc3C2)c(N)n1
ZINC00022901	DUD_ache_D_9	c1[nH]c2ncccc2c1C[NH+]1CCC(CCc2ccccc2)CC1
ZINC00023124	DUD_ache_D_10	c1ccc(N2CC[NH+](CCNc3ncnc4c3CCCC4)CC2)cc1
ZINC00023179	DUD_ache_D_11	C[NH+]1CC(COc2ccccn2)=CC2Cc3c(O)cccc3CC21
ZINC00024422	DUD_ache_D_12	C[NH+](C)CC1=C(c2cccc(O)c2)c2nc3ccccc3cc2CC1
ZINC00062421	DUD_ache_D_13	CCOc1ccc(N2C(=O)CC([NH2+]Cc3cccnc3)C2=O)cc1
ZINC00075570	DUD_ache_D_14	CC(C)(c1ccccc1)c1ccc(OCC(O)C[NH+]2CCCC2)cc1
ZINC00075574	DUD_ache_D_15	CC(C)(c1ccccc1)c1ccc(OCC(O)C[NH+]2CCCC2)cc1
ZINC00109055	DUD_ache_D_16	CCN(Cc1ccccc1)C(=O)c1sc2nc(C)cc(C)c2c1N
ZINC00126363	DUD_ache_D_17	C[NH+](C)CCNc1c2c(c(C#N)c3nc4ccccc4n31)CCC2
ZINC00134450	DUD_ache_D_18	OC(Cn1c2ccccc2c2ccccc21)C[NH+]1CCCCCC1
ZINC00144359	DUD_ache_D_19	C=CC[NH+](CC=C)Cc1c(C)[nH]c2ccc(C(=O)OCC)cc2c1=O
ZINC00148197	DUD_ache_D_20	CCOC(=O)c1c(N)n(CC[NH+](C)C)c2nc3ccccc3nc21
ZINC00156931	DUD_ache_D_21	C[NH+]1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1
ZINC00206224	DUD_ache_D_22	C=CCc1cccc(CNc2c(C)n(C)n(-c3ccccc3)c2=O)c1O
ZINC00207177	DUD_ache_D_23	CCOc1ccccc1N1CC[NH+](Cc2ccc(O)cc2)CC1
ZINC00209209	DUD_ache_D_24	CC(=O)c1ccc(N2CC[NH+](Cc3cccc4ccccc43)CC2)cc1
ZINC00209359	DUD_ache_D_25	CCOc1ccccc1C[NH+]1CCN(c2ccc(C(C)=O)cc2)CC1
ZINC00209567	DUD_ache_D_26	COc1ccc(C[NH+]2CCN(c3ccc(C(C)=O)cc3)CC2)cc1C
ZINC00210853	DUD_ache_D_27	CC(=O)c1ccc(N2CC[NH+](Cc3ccc(C(C)C)cc3)CC2)cc1
ZINC00272905	DUD_ache_D_28	CC(=O)c1ccc(N2CC[NH+](Cc3ccc(N(C)C)cc3)CC2)cc1
ZINC00275611	DUD_ache_D_29	CC[NH+](CC)CC(=O)Nc1ccc2c(c1)Nc1ccccc1CC2
ZINC00292028	DUD_ache_D_30	CCOc1ccccc1N1CC[NH+](Cc2ccc([N+](=O)[O-])cc2)CC1
