# Mol_Title	ID	SMILES
ZINC00000040	DUD_ar_D_1	CC1(O)CCC2C3CCC4Cc5nocc5CC4(C)C3CCC21C
ZINC00001119	DUD_ar_D_2	CC1(O)CCC2C3CCC4=C(Cl)C(=O)CCC4C3CCC21C
ZINC00001125	DUD_ar_D_3	CC1(O)CCC2C3CCC4=C(Cl)C(=O)C=CC4(C)C3CCC21C
ZINC00001205	DUD_ar_D_4	CC12CCC3C(CCC4=C(Cl)C(=O)CCC43C)C1CCC2O
ZINC00001244	DUD_ar_D_5	C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C
ZINC00001284	DUD_ar_D_6	CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N
ZINC00001393	DUD_ar_D_7	CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)C#CCl
ZINC00001493	DUD_ar_D_8	CC1(O)CCC2C3CCC4Cc5nonc5CC4(C)C3CCC21C
ZINC00001842	DUD_ar_D_9	CC1(O)CCC2C3CCC4OC(=O)CCC4(C)C3CCC21C
ZINC00001860	DUD_ar_D_10	CC1(O)CCC2C3CCC4CC(=O)OCC4(C)C3CCC21C
ZINC00002350	DUD_ar_D_11	Cc1oncc1C(=O)Nc1ccc(C(C)(C)C)cc1Br
ZINC00002351	DUD_ar_D_12	Cc1oncc1C(=O)Nc1ccc(C(C)(C)C)cc1Cl
ZINC00002585	DUD_ar_D_13	CC(=O)ON1CC(C)(C)c2cc3nc(C(F)(F)F)[nH]c3cc21
ZINC00002585	DUD_ar_D_14	CC(=O)ON1CC(C)(C)c2cc3[nH+]c(C(F)(F)F)[nH]c3cc21
ZINC00003046	DUD_ar_D_15	CC(C)c1cc2c(c(O)c1O)C1(C)CCCC(C)(C)C1=CC2=O
ZINC00003472	DUD_ar_D_16	CC1CC2=C(CCC(=O)C2)C2C(F)CC3(C)C(O)CCC3C12
ZINC00003862	DUD_ar_D_17	CSc1cn(-c2cc(C)c3[nH]c(=O)ccc3c2)c(C)n1
ZINC00003862	DUD_ar_D_18	CSc1cn(-c2cc(C)c3[nH]c(=O)ccc3c2)c(C)[nH+]1
ZINC00003891	DUD_ar_D_19	COC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C
ZINC00004404	DUD_ar_D_20	COc1cc2cc(C3=NNC(=O)CC3C)sc2cc1OC
ZINC00005388	DUD_ar_D_21	COc1ccc(C2CNC(=O)N2)cc1OC1CCCC1
ZINC00005785	DUD_ar_D_22	CNc1nc2ccc(-c3nc4n(c3C)CCC(C)C4)cc2o1
ZINC00006011	DUD_ar_D_23	CC12C=CC(=O)C=C1CC(S)C1C2CCC2(C)COCCC12
ZINC00006223	DUD_ar_D_24	CCOC(=O)C1=C2SC=C(C(=O)NC)N2CCS1
ZINC00006890	DUD_ar_D_25	COc1ccc(C2(C)CNC(=O)O2)cc1OC1CCCC1
ZINC00007032	DUD_ar_D_26	C=CC1(C)C=C2CCC3C(CO)=CC(=O)CC3(C)C2CC1
ZINC00007245	DUD_ar_D_27	COc1ccc(C2C=NNC(=O)C2)cc1OC1CCCC1
ZINC00007303	DUD_ar_D_28	CC12CCCN1c1cc3[nH]c(=O)cc(C(F)(F)F)c3cc1CC2
ZINC00007539	DUD_ar_D_29	COc1ccc2c(c1)C(C#CC1CC1)(C(F)(F)F)OC(=O)N2
ZINC00008144	DUD_ar_D_30	CC(C)OC(=O)N1c2cc(Cl)ccc2NC(=O)C1(C)C
ZINC00008522	DUD_ar_D_31	CCOC1=NC(=O)C2(CC(C)(C)Oc3ccc(F)cc32)N1
ZINC00008685	DUD_ar_D_32	CCCc1nn(C)c2c1nc(-c1ccsc1OCC)[nH]c2=O
ZINC00008685	DUD_ar_D_33	CCCc1nn(C)c2c1[nH]c(-c1ccsc1OCC)nc2=O
ZINC00008685	DUD_ar_D_34	CCCc1nn(C)c2c1nc(-c1ccsc1OCC)nc2O
ZINC00009154	DUD_ar_D_35	CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=C(F)CO
ZINC00009379	DUD_ar_D_36	CC(C)c1cc(-c2csc(=O)[nH]2)cc(C(C)C)c1O
ZINC00009982	DUD_ar_D_37	Cc1nc2c(o1)-c1c(c(C(N)=O)sc1SC(C)C)CC2
ZINC00010298	DUD_ar_D_38	CC1CCN(c2nc3cc4c(cc3s2)CCC(=O)N4)CC1
ZINC00011008	DUD_ar_D_39	CC1CC2C3CCC4=CC(=O)CCC4(CS)C3CCC2(C)C1O
ZINC00011009	DUD_ar_D_40	CCC1CC2C3CCC4=CC(=O)CCC4(CS)C3CCC2(C)C1O
ZINC00011465	DUD_ar_D_41	O=C1CC(O)CC(C=Cc2ccccc2C2CCCCC2)O1
ZINC00011466	DUD_ar_D_42	O=C1CC(O)CC(C=Cc2c(Cl)cccc2C2CCCCC2)O1
ZINC00011502	DUD_ar_D_43	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(CS)C3CCC12C
ZINC00011523	DUD_ar_D_44	COc1cc2sc(C3=NNC(=O)CC3C)cc2c(Cl)c1OC
ZINC00011527	DUD_ar_D_45	COc1cc2sc(C3=NNC(=O)CC3)cc2c(Cl)c1OC
ZINC00011780	DUD_ar_D_46	CC(C(=O)OC1CCCCC1)c1ccc(N)c(Cl)c1
ZINC00012044	DUD_ar_D_47	O=c1c2nc[nH]c2n(C2CCCCC2)c(=O)n1C1CCCCC1
ZINC00012044	DUD_ar_D_48	O=c1c2[nH]c[nH+]c2n(C2CCCCC2)c(=O)n1C1CCCCC1
ZINC00012401	DUD_ar_D_49	CNC(=S)C1(c2cccnc2)CCCCC1CC(=O)OC
ZINC00013050	DUD_ar_D_50	CCc1nc(C)c2c(=O)[nH]c3ccc(N4CCCC4)cc3n12
ZINC00013050	DUD_ar_D_51	CCc1[nH+]c(C)c2c(=O)[nH]c3ccc(N4CCCC4)cc3n12
ZINC00013540	DUD_ar_D_52	COc1ccc(C2CNC(=O)N2C)cc1OC1CC2C=CC1C2
ZINC00013745	DUD_ar_D_53	Cc1cc(C)c2c(c1)Sc1ncc(N)cc1C(=O)N2C(C)C
ZINC00016008	DUD_ar_D_54	Cc1c2c(c(C)c(N)c1C)C(c1cccnc1)C(C)(C)O2
ZINC00017149	DUD_ar_D_55	CC1C=C2N(C)C(=O)CCC2(C)C2CCC3(C)C(O)CCC3C12
ZINC00017354	DUD_ar_D_56	CC1(C)C(=O)CCC23Oc4cccc(O)c4CC2(C)CCCC13
ZINC00018238	DUD_ar_D_57	CC12CCC3C(Cc4c[nH]c5c4C3(C)CCC5=O)C1CCC2O
ZINC00018239	DUD_ar_D_58	CC12CCC3C(Cc4c[nH]c5c4C3(C)C=CC5=O)C1CCC2O
ZINC00018502	DUD_ar_D_59	Cc1[nH]cnc1CN1CCN(c2cc(C)cc(C)c2)C1=O
ZINC00018615	DUD_ar_D_60	CC12CCC3C(CCC4NC(=O)C=CC43C)C1CCC21CO1
ZINC00018783	DUD_ar_D_61	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(CCF)CC21C
ZINC00019355	DUD_ar_D_62	CC1CC2NC(=O)C=CC2(C)C2CCC3(C)C(CCC3C(C)(C)O)C12
ZINC00020091	DUD_ar_D_63	O=C1OC(CO)CN1c1ccc(C2CCCCC2)cc1
ZINC00020299	DUD_ar_D_64	CCOC(=O)c1[nH]c2cc3c(ccn3C(=O)OC)c(C)c2c1C
ZINC00020544	DUD_ar_D_65	CC12CCC3c4ccc(O)cc4CCC3C1CCC21CCC(=O)O1
ZINC00020816	DUD_ar_D_66	CNC(=S)c1nc(C(C)(C)C)nc2ccc([N+](=O)[O-])cc21
ZINC00020817	DUD_ar_D_67	CNC(=S)c1cc(C(C)(C)C)nc2ccc([N+](=O)[O-])cc21
ZINC00021676	DUD_ar_D_68	COc1ccc(C2(C#N)CCC(O)CC2)c2c1OC1(CCCC1)C2
ZINC00022288	DUD_ar_D_69	CN1CC2C3CC(O)CC3(C)CCC2C2(C)CCC(=O)C=C12
ZINC00022293	DUD_ar_D_70	CC1C2C3CC(O)CC3(C)CCC2C2(C)CCC(=O)C=C2N1C
ZINC00022480	DUD_ar_D_71	COc1ccc(C2=CC(=O)NC2)cc1OC1CCCC1
ZINC00022484	DUD_ar_D_72	COc1ccc(C2=CC(=O)NCC2)cc1OC1CCCC1
ZINC00022650	DUD_ar_D_73	COc1ccc(NC(=O)c2c[nH]c3c2C(=O)CC(C)C3)c(F)c1
ZINC00023208	DUD_ar_D_74	COc1ccc(C2CCNC(=O)O2)cc1OC1CCCC1
ZINC00023586	DUD_ar_D_75	Cc1nn(C)c(C)c1NC(=S)Nc1cc(Cl)ccc1C
ZINC00023630	DUD_ar_D_76	COC(=O)C1C(=O)C2=C(CC1C)Nc1ccc(Cl)cc1S2
ZINC00023631	DUD_ar_D_77	CCOC(=O)C1C(=O)C2=C(CC1C)Nc1ccc(Cl)cc1S2
ZINC00023632	DUD_ar_D_78	CCOC(=O)C1C(=O)C2=C(CC1C)Nc1ccc(C)cc1S2
ZINC00023796	DUD_ar_D_79	CC1(O)CCC2C3C(F)CC4CC(=O)CCC4(C)C3CCC21C
ZINC00024360	DUD_ar_D_80	CC1CCC(C(C)(C)O)CC1N(C)c1ncnc2[nH]cc(F)c21
ZINC00024484	DUD_ar_D_81	Cc1c(=O)[nH]c(SC2CCCC2)nc1Cc1c(F)cccc1F
ZINC00024484	DUD_ar_D_82	Cc1c(=O)nc(SC2CCCC2)[nH]c1Cc1c(F)cccc1F
ZINC00024484	DUD_ar_D_83	Cc1c(O)nc(SC2CCCC2)nc1Cc1c(F)cccc1F
ZINC00024487	DUD_ar_D_84	Cc1c(Cc2c(F)cccc2F)nc(NC2CCCC2)[nH]c1=O
ZINC00024487	DUD_ar_D_85	Cc1c(=O)nc(NC2CCCC2)[nH]c1Cc1c(F)cccc1F
ZINC00024487	DUD_ar_D_86	Cc1c(=O)nc(NC2CCCC2)[nH]c1Cc1c(F)cccc1F
