# Mol_Title	ID	SMILES
ZINC03814457	DUD_cdk2_A_1	CC(C)C(=O)COc1nc(N)nc2[nH]cnc21
ZINC03814459	DUD_cdk2_A_2	Nc1nc2[nH]cnc2c(OCC2CCCO2)n1
ZINC03814460	DUD_cdk2_A_3	Nc1nc2[nH]cnc2c(OCC2CCC(=O)N2)n1
ZINC00023543	DUD_cdk2_A_4	Nc1nc2[nH]cnc2c(OCC2CCCCC2)n1
ZINC03814458	DUD_cdk2_A_5	Nc1nc2[nH]cnc2c(OCC2CC=CCC2)n1
ZINC01641925	DUD_cdk2_A_6	Cn1cnc2c1nc(NCCO)nc2NCc1ccccc1
ZINC01649340	DUD_cdk2_A_7	CCC(CO)Nc1nc2c(ncn2C(C)C)c(NCc2ccccc2)n1
ZINC01487345	DUD_cdk2_A_8	COc1ccc(CNc2nc(N(CCO)CCO)nc3c2ncn3C(C)C)cc1
ZINC03814479	DUD_cdk2_A_9	Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1
ZINC03814467	DUD_cdk2_A_10	COc1ccc2c(c1)C(=Cc1cnc[nH]1)C(=O)N2
ZINC03814470	DUD_cdk2_A_11	COc1cc[nH]c1C=C1C(=O)Nc2ccc([N+](=O)[O-])cc21
ZINC03814455	DUD_cdk2_A_12	CCc1cnc(CSc2cnc(NC(=O)C(C)C)s2)o1
ZINC03814464	DUD_cdk2_A_13	CCCCOc1c2cn[nH]c2ncc1C(=O)c1nccs1
ZINC00003491	DUD_cdk2_A_14	COc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c31)NC2=O
ZINC03814473	DUD_cdk2_A_15	[NH3+]CCSc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c31)NC2=O
ZINC03814477	DUD_cdk2_A_16	NC(=O)Nc1cccc2c1C(=O)c1c-2n[nH]c1-c1cccs1
ZINC03814468	DUD_cdk2_A_17	COc1ccc2c(c1)C(=Cc1[nH]cc3c1CCOC3=O)C(=O)N2
