# Mol_Title	ID	SMILES
ZINC00002103	DUD_cdk2_D_1	CC(C)Oc1ccc(C(=O)NS(=O)(=O)c2ccc(N)cc2)cc1
ZINC00002112	DUD_cdk2_D_2	Cc1cc(NS(=O)(=O)c2ccc(N)cc2)n(-c2ccccc2)n1
ZINC00006108	DUD_cdk2_D_3	O=C(NCc1ccccc1)c1nc2c3c([nH]c(=O)n2n1)CCCC3
ZINC00011462	DUD_cdk2_D_4	Cc1cc(O)ccc1NC(=O)c1ccc2c(c1)NC(=O)C2(C)C
ZINC00011880	DUD_cdk2_D_5	CC1(C)Oc2ccsc2C(NC(=O)c2ccc([N+](=O)[O-])cc2)C1O
ZINC00013885	DUD_cdk2_D_6	Nc1nc2c(ncn2C2C=CC(CO)C2)c(SC2C=CCCC2)n1
ZINC00013886	DUD_cdk2_D_7	Nc1nc2c(ncn2C2C=CC(CO)C2)c(NC2C=CCC2)n1
ZINC00015788	DUD_cdk2_D_8	CN(c1nccc(=O)[nH]1)C1CCN(c2nc3cc(O)ccc3[nH]2)CC1
ZINC00015788	DUD_cdk2_D_9	CN(c1nccc(=O)[nH]1)C1CCN(c2[nH]c3ccc(O)cc3[nH+]2)CC1
ZINC00016242	DUD_cdk2_D_10	CN(CCc1ccc(NS(C)(=O)=O)cc1)c1cc(N)cc[nH+]1
ZINC00017176	DUD_cdk2_D_11	CCCS(=O)(=O)NC1Cc2ccc(-c3ccc(=O)[nH]n3)cc2C1
ZINC00017176	DUD_cdk2_D_12	CCCS(=O)(=O)NC1Cc2ccc(-c3ccc(O)nn3)cc2C1
ZINC00020210	DUD_cdk2_D_13	CCCS(=O)(=O)NCC1Cc2ccc(-c3ccc(=O)[nH]n3)cc2C1
ZINC00020210	DUD_cdk2_D_14	CCCS(=O)(=O)NCC1Cc2ccc(-c3ccc(O)nn3)cc2C1
ZINC00020212	DUD_cdk2_D_15	C=CS(=O)(=O)NCC1Cc2ccc(-c3ccc(=O)[nH]n3)cc2C1
ZINC00020212	DUD_cdk2_D_16	C=CS(=O)(=O)NCC1Cc2ccc(-c3ccc(O)nn3)cc2C1
ZINC00020730	DUD_cdk2_D_17	CC(=O)c1ccc2c(c1)C(NC(=O)c1cccs1)C(O)C(C)(C)O2
ZINC00023778	DUD_cdk2_D_18	CC(C(=O)c1ccc(N(C)C)cc1)c1ccc(C(=O)NO)cc1
ZINC00024494	DUD_cdk2_D_19	CC(O)C(CCc1cccc2ccccc21)n1cnc(C(N)=O)c1
ZINC00024494	DUD_cdk2_D_20	CC(O)C(CCc1cccc2ccccc21)n1c[nH+]c(C(N)=O)c1
ZINC00024689	DUD_cdk2_D_21	CC(C)(CNS(C)(=O)=O)c1ccc2nc(-c3ccncc3)[nH]c2c1
ZINC00024689	DUD_cdk2_D_22	CC(C)(CNS(C)(=O)=O)c1ccc2[nH]c(-c3ccncc3)[nH+]c2c1
ZINC00026735	DUD_cdk2_D_23	c1nc2c(nc(Nc3ccc4cn[nH]c4c3)nc2NC2CCC2)[nH]1
ZINC00026736	DUD_cdk2_D_24	CC(C)(C)Nc1nc(Nc2ccc3c(c2)C(=O)OC3)nc2[nH]cnc21
ZINC00026882	DUD_cdk2_D_25	COC(=O)c1ccc(Nc2n[nH]c(SCc3ccncc3)n2)cc1
ZINC00029692	DUD_cdk2_D_26	CCOc1ccccc1NS(=O)(=O)c1ccc(NC(C)=O)cc1
ZINC00029692	DUD_cdk2_D_27	CCOc1ccccc1[N-]S(=O)(=O)c1ccc(NC(C)=O)cc1
ZINC00029693	DUD_cdk2_D_28	COc1ccccc1CNS(=O)(=O)c1ccc(NC(C)=O)cc1
ZINC00029703	DUD_cdk2_D_29	CC(=O)Nc1ccc(S(=O)(=O)NCCc2ccccc2)cc1
ZINC00030061	DUD_cdk2_D_30	CCOC(=O)c1ccc(NC(=O)c2ccc(NC(C)=O)cc2)cc1
ZINC00030344	DUD_cdk2_D_31	CC(C)(C)c1ccc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1
ZINC00030345	DUD_cdk2_D_32	CN(C)c1cccc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)c1
ZINC00030796	DUD_cdk2_D_33	CCC(C(=O)Nc1ccc(S(N)(=O)=O)cc1)c1ccccc1
ZINC00030867	DUD_cdk2_D_34	COc1cc(SC)ccc1C(=O)Nc1ccc(C(N)=O)cc1
ZINC00031246	DUD_cdk2_D_35	COc1cc(C=NNC(=O)Cn2nc3ccccc3n2)ccc1O
ZINC00031648	DUD_cdk2_D_36	COc1cccc(C(=O)NCCc2ccc(S(N)(=O)=O)cc2)c1
ZINC00033458	DUD_cdk2_D_37	Nc1nc(CSc2nc3ccccc3[nH]2)nc(N2CCOCC2)n1
ZINC00033458	DUD_cdk2_D_38	Nc1nc(CSc2[nH]c3ccccc3[nH+]2)nc(N2CCOCC2)n1
ZINC00034136	DUD_cdk2_D_39	CCOC(=O)c1ccc(-c2ccc(C=C3NC(=O)NC3=O)o2)cc1
ZINC00035578	DUD_cdk2_D_40	CC(=O)NS(=O)(=O)c1ccc(NC(=O)CCc2ccccc2)cc1
ZINC00035660	DUD_cdk2_D_41	CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2cccc(C)c2)cc1
ZINC00035663	DUD_cdk2_D_42	CC(C)(C)c1ccc(C(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1
ZINC00036871	DUD_cdk2_D_43	Nc1nc(CSc2nc3ncccc3[nH]2)nc(N2CCCCC2)n1
ZINC00037147	DUD_cdk2_D_44	Cn1cc([N+](=O)[O-])c(C(=O)NN=Cc2c(O)ccc3ccccc32)n1
ZINC00037928	DUD_cdk2_D_45	Cc1ccc(OCC(=O)Nc2ccc(S(N)(=O)=O)cc2)c(C)c1
ZINC00041963	DUD_cdk2_D_46	COC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(C)cc2)cc1
ZINC00041963	DUD_cdk2_D_47	COC(=O)Nc1ccc(S(=O)(=O)[N-]c2ccc(C)cc2)cc1
ZINC00042824	DUD_cdk2_D_48	Cc1ccc(S(=O)(=O)NCCC(=O)Nc2cccc(O)c2)cc1
ZINC00044363	DUD_cdk2_D_49	CC(=O)N(CN1C(=O)c2ccc(N)cc2C1=O)c1ccccc1C
ZINC00046565	DUD_cdk2_D_50	C[N+](C)(C)c1ccc(C=Nc2cccc3c(=O)[nH][nH]c(=O)c23)cc1
ZINC00046591	DUD_cdk2_D_51	COC(=O)c1ccc(NC(=O)CC2Nc3ccccc3NC2=O)cc1
ZINC00046592	DUD_cdk2_D_52	COC(=O)c1ccc(NC(=O)CC2Nc3ccccc3NC2=O)cc1
ZINC00051499	DUD_cdk2_D_53	Cc1cc(NC(=O)CSc2nnc3c4ccccc4[nH]c3n2)no1
ZINC00053422	DUD_cdk2_D_54	CC(=O)Nc1cc2c(C)cc(=O)oc2c2c(Nc3ccccc3)coc21
ZINC00056094	DUD_cdk2_D_55	COc1cccc(C=NNC(=O)c2cc(-c3ccco3)n[nH]2)c1O
ZINC00058582	DUD_cdk2_D_56	COc1ccc(O)c(C=NNC(=O)Cn2nnc3ccccc32)c1
ZINC00060962	DUD_cdk2_D_57	Cn1cnnc1SCc1nc(N)nc(Nc2ccccc2)n1
ZINC00061263	DUD_cdk2_D_58	Cc1c(N=Cc2ccc(O)cc2O)c(=O)n(-c2ccccc2)n1C
ZINC00063403	DUD_cdk2_D_59	CC(=O)Oc1cccc(NC(=O)CC2Nc3ccccc3NC2=O)c1
ZINC00063405	DUD_cdk2_D_60	CC(=O)Oc1cccc(NC(=O)CC2Nc3ccccc3NC2=O)c1
ZINC00063411	DUD_cdk2_D_61	Cc1ccc(NC(=O)CC2Nc3ccccc3NC2=O)cc1[N+](=O)[O-]
ZINC00063412	DUD_cdk2_D_62	Cc1ccc(NC(=O)CC2Nc3ccccc3NC2=O)cc1[N+](=O)[O-]
ZINC00067891	DUD_cdk2_D_63	CC(=O)Nc1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)c(C)c1
ZINC00067894	DUD_cdk2_D_64	CC(=O)Nc1ccc(NC(=O)c2cc(C)ccc2[N+](=O)[O-])c(C)c1
ZINC00071925	DUD_cdk2_D_65	COc1cc(C=NNC(=O)c2cc(-c3ccco3)n[nH]2)ccc1O
ZINC00073386	DUD_cdk2_D_66	COc1cc(C=NNC(=O)c2cc(-c3ccc(C)o3)n[nH]2)ccc1O
ZINC00073386	DUD_cdk2_D_67	COc1cc(C=NNC(=O)c2cc(-c3ccc(C)o3)[nH]n2)ccc1O
ZINC00073812	DUD_cdk2_D_68	CCOC(=O)Nc1ccc(S(=O)(=O)Nc2c(C)cccc2C)cc1
ZINC00075929	DUD_cdk2_D_69	Cc1cccc(Nc2nc3nonc3nc2Nc2cccc(C)c2)c1
ZINC00076679	DUD_cdk2_D_70	CC(C)(C)N1C(=O)c2ccc(C(=O)Nc3ccc(O)cc3)cc2C1=O
ZINC00077379	DUD_cdk2_D_71	COc1ccc(N2C(=O)CC(Nc3ccc(CCO)cc3)C2=O)cc1
ZINC00080999	DUD_cdk2_D_72	COC(=O)c1ccc(Oc2c[nH]nc2-c2ccc(OC)cc2O)cc1
ZINC00080999	DUD_cdk2_D_73	COC(=O)c1ccc(Oc2cn[nH]c2-c2ccc(OC)cc2O)cc1
ZINC00082027	DUD_cdk2_D_74	CC(C)NS(=O)(=O)c1ccc(NC(=O)Cc2cccs2)cc1
ZINC00086200	DUD_cdk2_D_75	CNC(=O)c1ccccc1Sc1ccc([N+](=O)[O-])cc1C(=O)NC
ZINC00087451	DUD_cdk2_D_76	Cn1c2nc(NCc3ccccc3)n(CCO)c2c(=O)n(C)c1=O
ZINC00087451	DUD_cdk2_D_77	Cn1c2[nH+]c(NCc3ccccc3)n(CCO)c2c(=O)n(C)c1=O
ZINC00088067	DUD_cdk2_D_78	Cc1ccc(-n2nnnc2-c2cnc(N)nc2-c2ccccc2F)cc1
ZINC00090175	DUD_cdk2_D_79	CCOC(=O)c1ccc(NC(=O)c2cc(=O)[nH]c3ccccc32)cc1
ZINC00090736	DUD_cdk2_D_80	Cc1ccc(-c2csc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1
ZINC00091356	DUD_cdk2_D_81	Cc1ccc([N+](=O)[O-])cc1NC(=O)CC1Nc2ccccc2NC1=O
ZINC00091359	DUD_cdk2_D_82	Cc1ccc([N+](=O)[O-])cc1NC(=O)CC1Nc2ccccc2NC1=O
ZINC00092130	DUD_cdk2_D_83	CCc1ccc(N2CC(C(=O)Nc3cccc(O)c3)CC2=O)cc1
ZINC00093102	DUD_cdk2_D_84	CCn1c2ccccc2c2cc(C=NNC(=O)c3nonc3N)ccc21
ZINC00099178	DUD_cdk2_D_85	CC(=O)c1ccc(N2C(=O)CC(Sc3ccccc3N)C2=O)cc1
ZINC00099180	DUD_cdk2_D_86	CC(=O)c1ccc(N2C(=O)CC(Sc3ccccc3N)C2=O)cc1
ZINC00103368	DUD_cdk2_D_87	COc1ccc(C(=O)Nc2cccc(NC(C)=O)c2)cc1[N+](=O)[O-]
ZINC00108901	DUD_cdk2_D_88	CC(=O)Oc1ccc(NC(=O)CC2Nc3ccccc3NC2=O)cc1
ZINC00108905	DUD_cdk2_D_89	CC(=O)Oc1ccc(NC(=O)CC2Nc3ccccc3NC2=O)cc1
ZINC00111293	DUD_cdk2_D_90	CS(=O)(=O)NCc1ccc(C(=O)NCc2ccccc2)cc1
ZINC00111773	DUD_cdk2_D_91	CCOc1cc(-c2nc3c(cnn3-c3ccccc3)c(=O)[nH]2)ccc1O
ZINC00111773	DUD_cdk2_D_92	CCOc1cc(-c2nc(=O)c3cnn(-c4ccccc4)c3[nH]2)ccc1O
ZINC00111773	DUD_cdk2_D_93	CCOc1cc(-c2nc3c(cnn3-c3ccccc3)c(O)n2)ccc1O
ZINC00111808	DUD_cdk2_D_94	CC(=O)Nc1ccc(C(=O)CSc2nnc(-c3ccco3)[nH]2)cc1
ZINC00112082	DUD_cdk2_D_95	COc1cc(Cn2c3ccccc3nc2-c2nonc2N)ccc1C
ZINC00112082	DUD_cdk2_D_96	COc1cc(Cn2c3ccccc3[nH+]c2-c2nonc2N)ccc1C
ZINC00112763	DUD_cdk2_D_97	COC(=O)C1=C(N)Oc2c(=O)cc(CO)oc2C1c1ccccc1F
ZINC00112768	DUD_cdk2_D_98	COC(=O)C1=C(N)Oc2c(=O)cc(CO)oc2C1c1ccccc1F
ZINC00115651	DUD_cdk2_D_99	CC(C)(C)c1ccc(-c2noc(CSc3n[nH]c(N)n3)n2)cc1
ZINC00116246	DUD_cdk2_D_100	CC(C)(C)c1ccccc1OCC(=O)Nc1ccc(C(N)=O)cc1
ZINC00122316	DUD_cdk2_D_101	Cc1cccc(OCC(=O)Nc2ccc(S(N)(=O)=O)cc2)c1C
ZINC00129955	DUD_cdk2_D_102	CC1(C)Cc2cccc(C(=O)Nc3ccc(S(N)(=O)=O)cc3)c2O1
ZINC00131422	DUD_cdk2_D_103	NS(=O)(=O)c1ccc(NC(=O)CN2CCCc3ccccc32)cc1
ZINC00131561	DUD_cdk2_D_104	Cc1cc(C)n2nc(C(=O)NN=Cc3cccc(O)c3)nc2n1
