# Mol_Title	ID	SMILES
ZINC03779977	DUD_cox2_A_1	CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1
ZINC00006765	DUD_cox2_A_2	CS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2)s1
ZINC03814786	DUD_cox2_A_3	Cc1cc(CC(=O)[O-])n(C)c1C(=O)c1ccc(Cl)cc1
ZINC03814819	DUD_cox2_A_4	CC(C)(C)c1cc(C=C2NC(N)=NC2=O)cc(C(C)(C)C)c1O
ZINC04631275	DUD_cox2_A_5	CC(=C1NC(N[CH+](=N)N)=NC1=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
ZINC03812990	DUD_cox2_A_6	Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl
ZINC03617632	DUD_cox2_A_7	CC(C(=O)[O-])c1ccc(C(=O)c2ccccc2)cc1
ZINC02383046	DUD_cox2_A_8	O=C([O-])Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl
ZINC03791739	DUD_cox2_A_9	CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1
ZINC03814788	DUD_cox2_A_10	Cc1ccc(Nc2c(F)c(F)cc(F)c2F)c(CC(=O)[O-])c1
ZINC00009201	DUD_cox2_A_11	CCc1cc(C=CS(N)(=O)=O)cc(C(=O)c2ccccc2)c1
ZINC00598515	DUD_cox2_A_12	CS(=O)(=O)Nc1ccc(C(N)=O)cc1Sc1ccc(F)cc1F
ZINC03814532	DUD_cox2_A_13	COC(=O)CNC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl
ZINC00840871	DUD_cox2_A_14	CS(=O)(=O)Nc1ccc(S(N)(=O)=O)cc1Sc1ccc(Cl)cc1Cl
ZINC03814770	DUD_cox2_A_15	CCOC(=O)C(CCO)=C(c1ccc(F)cc1)c1ccc(S(C)(=O)=O)cc1
ZINC03814807	DUD_cox2_A_16	C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1
ZINC03814801	DUD_cox2_A_17	CC1(C)C(=O)C(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1
ZINC03814800	DUD_cox2_A_18	CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1
ZINC03775137	DUD_cox2_A_19	CCc1cccc2c3c([nH]c21)C(CC)(CC(=O)[O-])OCC3
ZINC03814789	DUD_cox2_A_20	CCc1cccc2c1[nH]c1c2C(=O)COC1(CC)CC(=O)[O-]
ZINC03814790	DUD_cox2_A_21	CCc1cccc2c1[nH]c1c2C(=O)CCC1(CC)CC(=O)[O-]
ZINC03814517	DUD_cox2_A_22	Cc1cc2cc(-c3ccc(C(C)C(=O)[O-])cc3)ccc2[nH]1
ZINC03814651	DUD_cox2_A_23	NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CCC2)cc1
ZINC00022443	DUD_cox2_A_24	NS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1
ZINC03814551	DUD_cox2_A_25	Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1
ZINC00007588	DUD_cox2_A_26	Cc1nc(-c2ccccc2)c(-c2ccc(S(N)(=O)=O)cc2)s1
ZINC00006596	DUD_cox2_A_27	CS(=O)(=O)c1ccc(-c2snnc2-c2ccc(F)cc2)cc1
ZINC00007455	DUD_cox2_A_28	CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
ZINC00006694	DUD_cox2_A_29	Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
ZINC00007002	DUD_cox2_A_30	CS(=O)(=O)c1ccc(C2=C(c3cccnc3)C(=O)CC2)cc1
ZINC00006916	DUD_cox2_A_31	CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1
ZINC03814653	DUD_cox2_A_32	COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1
ZINC03814652	DUD_cox2_A_33	NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CCC2)cc1
ZINC00602158	DUD_cox2_A_34	CS(=O)(=O)c1ccc(-c2cc(Cl)nn2-c2ccc(F)cc2)cc1
ZINC00602593	DUD_cox2_A_35	CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(F)cc2)cc1
ZINC00008604	DUD_cox2_A_36	NS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccc(F)cc2)cc1
ZINC00006662	DUD_cox2_A_37	Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)c(F)c2)o1
ZINC00007001	DUD_cox2_A_38	CS(=O)(=O)c1ccc(C2=C(c3cncc(Cl)c3)C(=O)CC2)cc1
ZINC03814766	DUD_cox2_A_39	CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cn3)C(=O)CC2)cc1
ZINC00020207	DUD_cox2_A_40	NS(=O)(=O)c1ccc(-n2nc(CF)cc2-c2ccccc2)cc1
ZINC00021008	DUD_cox2_A_41	Cc1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)s1
ZINC03814600	DUD_cox2_A_42	Cc1cn(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(Cl)cc2)n1
ZINC03814715	DUD_cox2_A_43	NS(=O)(=O)c1ccc(-n2ncc(Br)c2-c2ccc(Cl)cc2)cc1
ZINC03814570	DUD_cox2_A_44	Cc1nc(-c2ccc(Cl)cc2)c(-c2ccc(S(N)(=O)=O)cc2)s1
ZINC03814711	DUD_cox2_A_45	Cc1nn(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccccc2)c1Cl
ZINC00581585	DUD_cox2_A_46	NS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccc(Cl)cc2)cc1
ZINC00021455	DUD_cox2_A_47	NS(=O)(=O)c1ccc(-c2c(CO)onc2-c2ccccc2)cc1
ZINC03814637	DUD_cox2_A_48	COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1
ZINC00022442	DUD_cox2_A_49	Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C1CCC(F)CC1
ZINC03814717	DUD_cox2_A_50	NS(=O)(=O)c1ccc(-n2ncc([N+](=O)[O-])c2-c2ccccc2)cc1
ZINC00601201	DUD_cox2_A_51	NS(=O)(=O)c1ccc(-n2nc(CO)cc2-c2ccc(Cl)cc2)cc1
ZINC03814716	DUD_cox2_A_52	Cc1ccc(-c2c(C#N)cnn2-c2ccc(S(N)(=O)=O)cc2)cc1
ZINC03814725	DUD_cox2_A_53	NS(=O)(=O)c1ccc(-n2nc(C(F)F)cc2-c2ccccc2)cc1
ZINC00020206	DUD_cox2_A_54	N#Cc1cc(-c2ccc(F)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1
ZINC00009969	DUD_cox2_A_55	CS(=O)(=O)c1ccc(C2=C(c3cc(F)cc(F)c3)C(=O)CC2)cc1
ZINC03814618	DUD_cox2_A_56	CS(=O)(=O)c1ccc(-n2cc(C#N)nc2-c2ccc(Cl)cc2)cc1
ZINC03814617	DUD_cox2_A_57	CS(=O)(=O)c1ccc(-n2cc(CF)nc2-c2ccc(Cl)cc2)cc1
ZINC03814654	DUD_cox2_A_58	COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1F
ZINC03814684	DUD_cox2_A_59	N#CCc1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1
ZINC03814693	DUD_cox2_A_60	NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2C2=CCCCC2)cc1
