# Mol_Title	ID	SMILES
ZINC00003289	DUD_cox2_D_1	CC(C)(O)c1cnn2c(-c3ccc(F)c(-c4ccccn4)c3)cnc2n1
ZINC00003289	DUD_cox2_D_2	CC(C)(O)c1cnn2c(-c3ccc(F)c(-c4ccccn4)c3)c[nH+]c2n1
ZINC00003906	DUD_cox2_D_3	CC(O)C1CN(c2ccc(OCc3cccc(Cl)c3)cc2)C(=O)O1
ZINC00007518	DUD_cox2_D_4	Cc1csc2nc(C(C)NC(=O)C=Cc3ccccc3)oc(=O)c12
ZINC00008728	DUD_cox2_D_5	CC(=S)NCC1CC(c2ccc(-n3ccc(C=O)c3)c(F)c2)=NO1
ZINC00011460	DUD_cox2_D_6	CC1(C)C(=O)Nc2cc(C(=O)Nc3cccc(C(F)(F)F)c3)ccc21
ZINC00014626	DUD_cox2_D_7	O=C1N(O)CCC12CC(CCc1ccccc1)Oc1ccc(F)cc12
ZINC00016589	DUD_cox2_D_8	COC(=O)COc1c2ccc(Cl)cc2[nH]c(=O)c1-c1ccccc1
ZINC00019333	DUD_cox2_D_9	COc1c(=O)[nH]c2cc(Cl)ccc2c(=O)c1C#Cc1ccccc1
ZINC00019543	DUD_cox2_D_10	Cc1cccc(Nc2ncnc3cc(F)c(NC(=O)CCl)cc32)c1
ZINC00021280	DUD_cox2_D_11	Cc1csc2nc(C(C)NC(=O)OCc3ccccc3)oc(=O)c12
ZINC00021431	DUD_cox2_D_12	CC(=O)c1ccc2c(c1)C(c1ccccc1F)=NCc1nc(CO)cn1-2
ZINC00022341	DUD_cox2_D_13	CC(NC(=O)OCc1ccccc1)c1nc2ccsc2c(=O)o1
ZINC00024377	DUD_cox2_D_14	CC(=O)Nc1nc(-c2cccc(Cl)c2)c(-c2ccncc2)s1
ZINC00025802	DUD_cox2_D_15	COC(=S)NCC1CN(c2ccc(-c3ccncc3)cc2)C(=O)O1
ZINC00026580	DUD_cox2_D_16	CNC(=O)c1cc2c(cncc2C(=O)c2ccc(Cl)cc2)s1
